scene,pose,success_pct,reachable,dead,median_of_min,worst_of_min,median_of_median,branch_a,branch_b
full,look,66.22222222222223,13,2,405.61773589265056,553.9325728362351,539.9262982535527,12,1
full,armed,68.88888888888889,13,2,373.29422717914673,529.8317453555777,508.2870146009013,12,1
