home,n_a,n_b,out_a,out_b,back_a,back_b,trip_a,trip_b,trip_all
look pose,130,50,628.1,604.5,627.1,603.6,1255.2,1208.1,1229.3
armed pos,116,64,390.7,522.0,390.7,521.1,781.4,1043.1,914.8
