scene,pose,success_pct,reachable,dead,median_of_min,worst_of_min,median_of_median,branch_a,branch_b
full,look,65.11111111111111,13,2,421.2954723375194,550.7489713763642,544.8425984831802,12,1
full,armed,70.22222222222223,13,2,357.44902234226254,518.9221487357223,496.5010535856388,12,1
